Complete Configuration Data
======================================================================
Index | B1_x B1_y | B2_x B2_y | g(1) | g(2)
  604 |   13   15 |   13   13 |    8 |   28
  605 |    3   18 |    5   12 |    8 |   28
  606 |    4    6 |   18   13 |    8 |   28
  607 |   17    5 |    8    1 |    8 |   28
  608 |    1   10 |   15   18 |    8 |   28
  609 |   14   18 |   13    8 |    8 |   28
  610 |    8   15 |   12    5 |    8 |   28
  611 |    9    7 |    4    2 |    7 |   23
  612 |   14   20 |    1    8 |    8 |   28
  613 |    7    3 |    4   20 |    8 |   28
  614 |    2   15 |   20    2 |    8 |   28
  615 |    8    2 |   13   15 |    8 |   28
  616 |    8   18 |    7    2 |    8 |   28
  617 |    5   17 |   10    8 |    8 |   28
  618 |   19   11 |   19   20 |    8 |   28
  619 |   11    8 |   10    5 |    8 |   28
  620 |   17    8 |   14   10 |    8 |   28
  621 |    9    2 |   18   19 |    8 |   28
  622 |    6   14 |   18   16 |    8 |   28
  623 |    2   12 |   13   17 |    8 |   28
  624 |   11   14 |   14    5 |    8 |   28
  625 |   10   13 |    6   18 |    8 |   28
  626 |   16    8 |    8   10 |    8 |   28
  627 |    5   15 |    2   18 |    8 |   28
  628 |   14   14 |   18   17 |    7 |   23
  629 |    5   13 |    8    9 |    8 |   28
  630 |    7   11 |    3   15 |    8 |   28
  631 |   12    3 |   18    7 |    8 |   28
  632 |    2    9 |   13   20 |    8 |   28
  633 |   20    2 |    3    7 |    8 |   28
  634 |   19   18 |    7   16 |    8 |   28
  635 |    7   11 |   10    1 |    8 |   28
  636 |    7    7 |    4   16 |    8 |   28
  637 |    8   20 |    7   13 |    8 |   28
  638 |    8   18 |   11   10 |    8 |   28
  639 |   13   15 |   18   12 |    8 |   28
  640 |   10    9 |   12   17 |    8 |   28
  641 |   16   15 |    4   16 |    8 |   28
  642 |   11    7 |   12   11 |    8 |   28
  643 |   14    2 |   19    8 |    8 |   28
  644 |    5    1 |    9   18 |    8 |   28
  645 |   19   19 |   14   10 |    8 |   28
  646 |    5    7 |   11    8 |    8 |   28
  647 |   13   19 |    8   16 |    8 |   28
  648 |   18   11 |    9   16 |    8 |   28
  649 |   16   15 |    6   12 |    8 |   28
  650 |    6    5 |   18   16 |    7 |   23
  651 |    6   18 |    2   17 |    8 |   28
  652 |    2    3 |    2    1 |    7 |   23
  653 |   14    5 |    8    3 |    8 |   28
  654 |    5    1 |    7   17 |    8 |   28
  655 |   15   12 |    2   20 |    8 |   28
  656 |   20   16 |   16    1 |    8 |   28
  657 |    1   18 |   18   14 |    8 |   28
  658 |    1    1 |   17    9 |    8 |   28
  659 |   18   10 |    1   17 |    8 |   28
  660 |   14    6 |    4    4 |    8 |   28
  661 |   17    5 |    8    7 |    8 |   28
  662 |   20   17 |    9   12 |    8 |   28
  663 |    9   13 |    3   12 |    8 |   28
  664 |   13   15 |   19    8 |    8 |   28
  665 |    8   10 |    3    2 |    8 |   28
  666 |    3   13 |   13   13 |    8 |   28
  667 |   18   16 |    2    1 |    8 |   28
  668 |    6    3 |   16   14 |    8 |   28
  669 |   11   19 |    4   17 |    8 |   28
  670 |    2    8 |    7   19 |    8 |   28
  671 |   16    9 |    2    3 |    8 |   27
  672 |    9   18 |   19    2 |    8 |   28
  673 |    6   11 |    1    7 |    8 |   28
  674 |   19    5 |   13    3 |    8 |   28
  675 |   10    6 |   19    8 |    8 |   28
  676 |   19   13 |   18   11 |    8 |   28
  677 |   13    5 |    3   17 |    8 |   28
  678 |   12    2 |    4   14 |    8 |   28
  679 |    8    3 |   11   20 |    8 |   28
  680 |   20   20 |   13   11 |    8 |   28
  681 |    1    9 |   15   16 |    8 |   28
  682 |    8   12 |   18   13 |    8 |   28
  683 |   14    6 |   19   13 |    8 |   28
  684 |    3   20 |   10    8 |    8 |   28
  685 |    3    3 |    9    5 |    8 |   28
  686 |   13    5 |   13   11 |    8 |   28
  687 |   12    4 |    3    1 |    4 |    8
  688 |   10   15 |   12    9 |    8 |   28
  689 |    4    5 |    3    6 |    7 |   23
  690 |   14   15 |   18   18 |    7 |   23
  691 |   17   14 |    4    1 |    8 |   28
  692 |    3   12 |   18    3 |    8 |   28
  693 |   20   20 |   11   13 |    8 |   28
  694 |    1   10 |   14   13 |    8 |   28
  695 |    3   18 |    8   19 |    8 |   28
  696 |   17    6 |   13    6 |    8 |   28
  697 |    5    9 |   10    9 |    8 |   28
  698 |   16    5 |    3    6 |    8 |   28
  699 |   14    9 |   14   10 |    7 |   23
  700 |   16    3 |   12    9 |    8 |   28
  701 |    8   16 |   20   20 |    8 |   28
  702 |    7   15 |    4    5 |    8 |   28
  703 |   10    1 |   13   11 |    8 |   28
  704 |   20   13 |   11   15 |    8 |   28
  705 |   11   14 |   20    5 |    8 |   28
  706 |   10   11 |   20    7 |    8 |   28
  707 |   16   11 |    6   13 |    8 |   28
  708 |   11   10 |   16   19 |    8 |   28
  709 |    8   11 |   13    9 |    8 |   28
  710 |   13   12 |    4   19 |    8 |   28
  711 |    7   19 |   18    6 |    8 |   28
  712 |   18    1 |   15    7 |    8 |   28
  713 |   15   10 |    3   14 |    8 |   28
  714 |   16    5 |   10    8 |    8 |   28
  715 |    9    5 |   14   13 |    8 |   28
  716 |    3   15 |   20   16 |    8 |   28
  717 |   19   13 |   18   17 |    8 |   28
  718 |   14   18 |    2   12 |    8 |   28
  719 |   18   20 |    3    4 |    8 |   28
  720 |    8   12 |    6   20 |    8 |   28
  721 |    2   19 |   13   11 |    8 |   28
  722 |   14    4 |    1    4 |    8 |   28
  723 |    9    8 |   17   17 |    7 |   23
  724 |   18   19 |   19    8 |    8 |   28
  725 |   15   12 |   13   15 |    8 |   28
  726 |   19   17 |    5   12 |    8 |   28
  727 |    1   16 |    4   10 |    8 |   28
  728 |   14    3 |    4    5 |    8 |   28
  729 |   12   10 |   11   15 |    8 |   28
  730 |    7   17 |   16   12 |    8 |   28
  731 |   16    4 |   15   15 |    8 |   28
  732 |   11    3 |   10    2 |    8 |   28
  733 |    4    1 |   11    4 |    8 |   28
  734 |    6    8 |   17    6 |    8 |   28
  735 |   18    6 |   11   18 |    8 |   28
  736 |   14   15 |    8   13 |    8 |   28
  737 |    6    6 |   14   13 |    7 |   23
  738 |    1   20 |    7   15 |    8 |   28
  739 |   19   14 |   13    1 |    8 |   28
  740 |    7    7 |    9    3 |    8 |   28
  741 |   19    4 |   18    6 |    8 |   28
  742 |   12   11 |    7   15 |    8 |   28
  743 |    4    9 |   16   17 |    8 |   28
  744 |   11   20 |   13   20 |    8 |   28
  745 |   13   19 |    4   12 |    8 |   28
  746 |   12   15 |   20    6 |    8 |   28
  747 |   10   20 |   19    3 |    8 |   28
  748 |    5   11 |    4    8 |    7 |   23
  749 |   10    4 |    6   12 |    8 |   28
  750 |    5   17 |   13   14 |    8 |   28
  751 |   20    5 |   19   13 |    8 |   28
  752 |   14    6 |   16   18 |    8 |   28
  753 |    6   18 |    6   16 |    8 |   28
  754 |   10    5 |    6   11 |    8 |   28
  755 |   15   20 |    2   12 |    8 |   28
  756 |    1   16 |    5    7 |    8 |   28
  757 |   13   18 |   17   16 |    8 |   28
  758 |   14   16 |   14   15 |    7 |   23
  759 |   16    6 |    3   19 |    8 |   28
  760 |    1    8 |   10    2 |    8 |   28
  761 |    9    8 |   18   10 |    8 |   28
  762 |    6   15 |   19   16 |    8 |   28
  763 |   18   17 |    4   19 |    8 |   28
  764 |    4    9 |   18   12 |    8 |   28
  765 |   18    2 |   15   18 |    8 |   28
  766 |    7   14 |    4    8 |    4 |    8
  767 |   10    2 |   15    9 |    8 |   28
  768 |   12    3 |   15    4 |    8 |   28
  769 |    8    7 |   19   12 |    8 |   28
  770 |   20   14 |    6   20 |    8 |   28
  771 |    5    7 |    7    2 |    8 |   28
  772 |   19   12 |   18    9 |    8 |   28
  773 |   20   18 |    6   11 |    8 |   28
  774 |   10   10 |   19    9 |    8 |   28
  775 |   17    4 |    5   14 |    8 |   28
  776 |    2    9 |    5    5 |    8 |   28
  777 |    8    5 |   11    8 |    8 |   28
  778 |   13   16 |    5   19 |    8 |   28
  779 |    9   14 |   13   15 |    8 |   28
  780 |    3    3 |   13   17 |    8 |   28
  781 |    9   12 |   15   16 |    8 |   27
  782 |   11   19 |    1    3 |    8 |   28
  783 |   15   12 |    3   18 |    8 |   28
  784 |   13    7 |   14    7 |    7 |   23
  785 |   16    9 |   11   10 |    8 |   28
  786 |   11   18 |   19    5 |    8 |   28
  787 |   19   16 |   11    2 |    8 |   28
  788 |    2    4 |   15    1 |    8 |   28
  789 |    4    6 |   15   15 |    8 |   28
  790 |    1   14 |    7    5 |    8 |   28
  791 |   10    6 |    9    3 |    8 |   28
  792 |   12    9 |    3   12 |    8 |   28
  793 |    6    2 |   13   10 |    8 |   28
  794 |    8   14 |    3    4 |    4 |    8
  795 |    1    7 |   16    3 |    8 |   28
  796 |    5   19 |    8   17 |    8 |   28
  797 |   15    1 |    1   11 |    8 |   28
  798 |    4   14 |    5   16 |    8 |   28
  799 |    3    8 |   13    3 |    8 |   28
  800 |    4    4 |   11   12 |    7 |   23
  801 |   10    5 |   13    5 |    8 |   28
  802 |    5    3 |   17   19 |    8 |   28
  803 |    1   20 |    6   15 |    8 |   28
  804 |   12    7 |    5   14 |    8 |   28
  805 |   20   15 |    7    3 |    8 |   28
  806 |    4    5 |    4   19 |    8 |   28
  807 |   13   12 |   14   11 |    7 |   23
  808 |    5    8 |    9    3 |    8 |   28
  809 |    8   18 |   20   20 |    8 |   28
  810 |   20   10 |    1   10 |    8 |   28
  811 |    7   17 |   20   17 |    8 |   28
  812 |    7   13 |   10    2 |    8 |   28
  813 |    8   16 |   13    4 |    8 |   28
  814 |    8   16 |   20    3 |    8 |   28
  815 |   17    1 |   12   11 |    8 |   28
  816 |    5   13 |   19   14 |    8 |   28
  817 |   12   18 |    6   16 |    8 |   28
  818 |    3    1 |   19    3 |    8 |   28
  819 |    1    9 |    7    2 |    8 |   28
  820 |    2   13 |   17   10 |    8 |   28
  821 |   17   14 |   14   13 |    8 |   28
  822 |    3   18 |   18   20 |    8 |   28
  823 |    5    9 |    3   10 |    8 |   28
  824 |    3   17 |    7    5 |    8 |   28
  825 |   18   11 |   13   19 |    8 |   28
  826 |    3   10 |   14    8 |    8 |   28
  827 |    2    8 |    3   14 |    8 |   28
  828 |    4   15 |   20   20 |    8 |   28
  829 |    2   10 |    6    4 |    8 |   28
  830 |    1    5 |    1    6 |    3 |    5
  831 |   16   12 |   17   17 |    8 |   28
  832 |    9    6 |   12    5 |    8 |   28
  833 |    9    4 |    1   11 |    8 |   28
  834 |   14    9 |   17    3 |    8 |   28
  835 |    9   19 |    3   16 |    8 |   28
  836 |   15   17 |   12    2 |    8 |   28
  837 |   16   19 |    6   12 |    8 |   28
  838 |    6    9 |    4   19 |    8 |   28
  839 |    4    8 |   17    1 |    8 |   28
  840 |    2    1 |    8    2 |    8 |   28
  841 |   16   12 |   13    5 |    8 |   28
  842 |    6    2 |   18   14 |    8 |   28
  843 |    8   11 |    8   14 |    8 |   28
  844 |   11    9 |    3   19 |    8 |   28
  845 |   12    4 |   17    2 |    8 |   28
  846 |    6    8 |   17    2 |    8 |   28
  847 |   13    3 |   15   10 |    8 |   28
  848 |   10   11 |    3   18 |    8 |   28
  849 |   15    1 |   12    7 |    8 |   28
  850 |   10   19 |   10   20 |    7 |   23
  851 |    8   15 |   12   19 |    8 |   28
  852 |   16    7 |   18    8 |    8 |   28
  853 |    5    1 |   14    1 |    4 |    8
  854 |    8   18 |   12    1 |    8 |   28
  855 |   11    1 |   13   10 |    8 |   28
  856 |    4    7 |   17    8 |    8 |   28
  857 |   14   16 |    2    5 |    8 |   28
  858 |    9    3 |    2    8 |    8 |   28
  859 |   17   14 |   12   15 |    8 |   28
  860 |    3   19 |    4   17 |    8 |   28
  861 |    5   13 |    3   19 |    8 |   28
  862 |   19    2 |   14    5 |    8 |   28
  863 |    8   10 |    9   11 |    8 |   28
  864 |   13   11 |   11   15 |    8 |   28
  865 |    9    8 |    3    7 |    8 |   28
  866 |    5   19 |    4    5 |    8 |   28
  867 |    4    6 |   15   15 |    8 |   28
  868 |   11   14 |    4   18 |    8 |   28
  869 |   12    7 |   15   10 |    8 |   27
  870 |   15    9 |    4    3 |    8 |   28
  871 |    6   10 |   20    2 |    8 |   28
  872 |    7   11 |    5    3 |    8 |   28
  873 |    8   12 |   13   17 |    8 |   28
  874 |    2   10 |    9    6 |    8 |   28
  875 |    1   13 |   15   18 |    8 |   28
  876 |   18    8 |    4   15 |    8 |   28
  877 |    4    5 |    4    1 |    8 |   28
  878 |    2    8 |    5    7 |    8 |   28
  879 |   13   12 |    3   19 |    8 |   28
  880 |   19    9 |    3    1 |    4 |    8
  881 |    3    7 |   15    5 |    8 |   28
  882 |    3   11 |    4    2 |    8 |   28
  883 |   15    2 |    6   19 |    8 |   28
  884 |   14   13 |   16    1 |    8 |   28
  885 |   13   14 |    6   12 |    8 |   28
  886 |    7    6 |    9    9 |    7 |   23
  887 |   15    5 |    2   20 |    8 |   28
  888 |   20   20 |    8   10 |    8 |   28
  889 |   16   14 |   18   16 |    8 |   28
  890 |    2    3 |    9   13 |    8 |   28
  891 |    5   14 |    7   17 |    8 |   28
  892 |    8   18 |    1   13 |    8 |   28
  893 |   12   16 |   18   16 |    8 |   28
  894 |   12   19 |   17   11 |    8 |   28
  895 |   13    9 |    6    1 |    8 |   28
  896 |   11   20 |    8    1 |    8 |   28
  897 |    9    2 |   16   17 |    8 |   28
  898 |   12   19 |    8    6 |    8 |   28
  899 |    4    8 |    8    9 |    8 |   28
  900 |   18    2 |    8   19 |    8 |   28
  901 |   13   12 |    6    6 |    7 |   23
  902 |    8   19 |   11   12 |    8 |   28
  903 |   19    1 |   12   19 |    8 |   28
  904 |   19    5 |   19    7 |    8 |   28
  905 |   16   18 |   10    6 |    8 |   28
  906 |   16    2 |    3    2 |    8 |   28
  907 |    8   20 |    8    1 |    8 |   28
  908 |   17   16 |    1   11 |    8 |   28
  909 |   20    7 |    5   11 |    8 |   28
  910 |    6   11 |    2    1 |    8 |   28
  911 |    5   19 |    5    4 |    8 |   28
  912 |   17   12 |    3   12 |    8 |   28
  913 |   13   19 |    4   11 |    8 |   28
  914 |   10   11 |    5    6 |    4 |    8
  915 |   14   16 |   11    6 |    8 |   28
  916 |   18   20 |   12    8 |    8 |   28
  917 |   19    6 |   13   10 |    8 |   28
  918 |   10    5 |    6    1 |    8 |   28
  919 |   19   13 |   19    2 |    8 |   28
  920 |    6   20 |   11   20 |    8 |   27
  921 |    8   19 |    4   16 |    8 |   28
  922 |    5   11 |    3    8 |    8 |   28
  923 |   12   11 |    6    3 |    8 |   28
  924 |   11   15 |    1    9 |    8 |   28
  925 |    7    8 |    3   12 |    8 |   27
  926 |    9    4 |    1    2 |    8 |   28
  927 |   13   15 |   14    6 |    8 |   28
  928 |   14   16 |   13   12 |    8 |   28
  929 |   18   13 |    4   16 |    8 |   28
  930 |   19    8 |    6   15 |    8 |   28
  931 |    3    2 |   10    1 |    8 |   28
  932 |   11    9 |    4    3 |    8 |   28
  933 |   11    6 |   13    6 |    8 |   28
  934 |    3   18 |    3   11 |    8 |   28
  935 |   20   20 |   16    1 |    8 |   28
  936 |   14    6 |   20   14 |    8 |   28
  937 |    6    2 |    4   11 |    8 |   28
  938 |    7    7 |   14   18 |    8 |   28
  939 |   18    9 |   10   10 |    8 |   28
  940 |    8    4 |    2   13 |    8 |   28
  941 |   19   18 |   16    5 |    8 |   28
  942 |    2   12 |    1   14 |    8 |   28
  943 |    3   10 |   20   16 |    8 |   28
  944 |    7    4 |    1    7 |    8 |   28
  945 |    6   10 |    3   16 |    8 |   28
  946 |    4   10 |   13   16 |    8 |   28
  947 |   16    9 |    3   18 |    8 |   28
  948 |   13    6 |   12   13 |    8 |   28
  949 |   12    6 |   15    2 |    8 |   28
  950 |    9   15 |   15    9 |    8 |   20
  951 |    8    9 |   19    2 |    8 |   28
  952 |    5    4 |    3   12 |    8 |   28
  953 |   18   14 |   19    8 |    8 |   28
  954 |   18    2 |   13   17 |    8 |   28
  955 |   14   18 |   16   19 |    8 |   28
  956 |    8   16 |   10    3 |    8 |   28
  957 |   13    2 |   17   19 |    8 |   28
  958 |   17   19 |   20    5 |    8 |   28
  959 |    4   15 |    6    6 |    8 |   28
  960 |    7    7 |    5    2 |    8 |   28
  961 |   14    3 |   14    7 |    8 |   28
  962 |    5   20 |    9   11 |    8 |   28
  963 |    3    3 |   13   18 |    4 |    8
  964 |   13   18 |   11    9 |    8 |   28
  965 |   17   15 |    1   20 |    8 |   28
  966 |   19   17 |   14    4 |    8 |   28
  967 |   14    5 |    5   19 |    8 |   28
  968 |   19   19 |    4    4 |    4 |    8
  969 |   19    4 |   10   18 |    8 |   28
  970 |   12   14 |    9   13 |    8 |   28
  971 |   16   19 |   20   16 |    8 |   28
  972 |    2    6 |    9   13 |    8 |   28
  973 |    5   20 |   20   13 |    8 |   28
  974 |    2   13 |   11    8 |    8 |   28
  975 |    2   16 |    9   12 |    8 |   28
  976 |    1   11 |   10   10 |    8 |   28
  977 |    9   16 |    4    8 |    7 |   23
  978 |    5   10 |   15   11 |    8 |   28
  979 |    9   14 |   20    3 |    8 |   28
  980 |    7   15 |    7   14 |    7 |   23
  981 |   16   17 |   12    2 |    8 |   28
  982 |   17    6 |    3   10 |    8 |   28
  983 |   17   13 |    5   17 |    8 |   28
  984 |   19    1 |    6    7 |    8 |   28
  985 |    7    2 |    8    2 |    7 |   23
  986 |   15    2 |   12    7 |    8 |   28
  987 |    9   12 |   15   17 |    8 |   28
  988 |   13    4 |    1    8 |    8 |   28
  989 |   12   16 |   20   15 |    8 |   28
  990 |    6   16 |   19   18 |    8 |   28
  991 |   12   12 |    6    9 |    8 |   28
  992 |    3   10 |    1   13 |    8 |   28
  993 |    2    6 |   19    7 |    8 |   28
  994 |    8    8 |    7    9 |    7 |   22
  995 |   14   17 |    1    1 |    8 |   28
  996 |   16    5 |    6   20 |    8 |   28
  997 |    1    8 |    9   20 |    8 |   28
